business,storeId,registerId,zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
one80restaurant2024,651ff8107e0af10007513d71,659fb1c2533eca0007659de6,671fe6ce29daf8073431dc48,1592,1592,1609,1609
one80restaurant2024,651ff8107e0af10007513d71,659fb1c2533eca0007659de6,671fe6ce29daf8073431dc48,1598,1598,1609,1609
one80restaurant2024,651ff8107e0af10007513d71,659fb1c2533eca0007659de6,671fe6cf29daf8073431dca9,1629,1629,1641,1641
one80restaurant2024,651ff8107e0af10007513d71,659fb1c2533eca0007659de6,671fe6cf29daf8073431dca9,1639,1639,1641,1641
bokkoreanfriedchicken,630f3665824c3d00073dbfae,62cbf82c983fe600071a6fac,671fe6d029daf8073431debe,81821,81807,81930,81916
bokkoreanfriedchicken,630f3665824c3d00073dbfae,62cbf82c983fe600071a6fac,671fe6d029daf8073431debe,81822,81808,81930,81916
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e0fd,27304,27294,27330,27320
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e0fd,27309,27299,27330,27320
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e120,27331,27321,27392,27381
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e120,27335,27324,27392,27381
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e13a,27393,27382,27437,27426
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e13a,27396,27385,27437,27426
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e152,27438,27427,27460,27449
charcoal,61af18a1ca61dd0006f329c0,6141768ab57be60006993fdd,671fe6d329daf8073431e152,27439,27428,27460,27449
cafeherecorner,65e44cf60bd1c400070647fc,65f8ed9b70e9ac0007acb617,671fe6d529daf8073431e42b,794,794,798,798
cafeherecorner,65e44cf60bd1c400070647fc,65f8ed9b70e9ac0007acb617,671fe6d529daf8073431e42b,796,796,798,798
cafeherecorner,65e44cf60bd1c400070647fc,65f8ed9b70e9ac0007acb617,671fe6d529daf8073431e448,799,799,805,805
cafeherecorner,65e44cf60bd1c400070647fc,65f8ed9b70e9ac0007acb617,671fe6d529daf8073431e448,801,801,805,805
hibachijapanesecuisine,669634499960040007850c87,6696344a9960040007850c8b,671fe6d629daf8073431e63a,888,888,908,908
hibachijapanesecuisine,669634499960040007850c87,6696344a9960040007850c8b,671fe6d629daf8073431e63a,889,889,908,908
hibachijapanesecuisine,669634499960040007850c87,6696344a9960040007850c8b,671fe6d629daf8073431e66f,949,949,961,961
hibachijapanesecuisine,669634499960040007850c87,6696344a9960040007850c8b,671fe6d629daf8073431e66f,950,950,961,961
hallowridgefilipinasgolf,6495551fab00a5000747cf8c,6495551fab00a5000747cf8e,671fe6d829daf8073431e878,13876,13874,13932,13930
hallowridgefilipinasgolf,6495551fab00a5000747cf8c,6495551fab00a5000747cf8e,671fe6d829daf8073431e878,13883,13881,13932,13930
limitlessarcade,657bfb22dc7ee60007574197,657bf856a4655900064701a7,671fe6da29daf8073431eb8d,11532,11532,11562,11562
limitlessarcade,657bfb22dc7ee60007574197,657bf856a4655900064701a7,671fe6da29daf8073431eb8d,11533,11533,11562,11562
lavayon,64eeee5e337a080007d53542,64eeee5e337a080007d53544,671fe6dd29daf8073431ef22,18242,18232,18326,18316
lavayon,64eeee5e337a080007d53542,64eeee5e337a080007d53544,671fe6dd29daf8073431ef22,18247,18237,18326,18316
mmfssi,65e93649f38e710007f160da,65e92658e68aa800082d711b,671fe6e029daf8073431f2f8,11229,11228,11292,11291
mmfssi,65e93649f38e710007f160da,65e92658e68aa800082d711b,671fe6e029daf8073431f2f8,11230,11229,11292,11291
zhostel,659ceeaedbdf0e00074aadd2,659e2bf43a65880007e29d3c,671fe6e729daf8073431f8ac,12294,12294,12331,12331
zhostel,659ceeaedbdf0e00074aadd2,659e2bf43a65880007e29d3c,671fe6e729daf8073431f8ac,12295,12295,12331,12331
zhostel,659ceeaedbdf0e00074aadd2,659e2bf43a65880007e29d3c,671fe6e729daf8073431f8cf,12484,12484,12511,12511
zhostel,659ceeaedbdf0e00074aadd2,659e2bf43a65880007e29d3c,671fe6e729daf8073431f8cf,12504,12504,12511,12511
thewaitingroomcafe,64f6ce71add7f700076345af,64f6ce71add7f700076345b1,671fe6e829daf8073431f989,19216,19215,19283,19282
thewaitingroomcafe,64f6ce71add7f700076345af,64f6ce71add7f700076345b1,671fe6e829daf8073431f989,19218,19217,19283,19282
thewaitingroomcafe,64f6ce71add7f700076345af,64f6ce71add7f700076345b1,671fe6e829daf8073431f99d,19284,19283,19387,19386
thewaitingroomcafe,64f6ce71add7f700076345af,64f6ce71add7f700076345b1,671fe6e829daf8073431f99d,19301,19300,19387,19386
edzrestaurant,653a32a44d84a700072cc794,6556ba3e0220670008e3f921,671fe6eb29daf8073431fe34,3863,3863,3885,3885
edzrestaurant,653a32a44d84a700072cc794,6556ba3e0220670008e3f921,671fe6eb29daf8073431fe34,3864,3864,3885,3885
edzrestaurant,653a32a44d84a700072cc794,6556ba3e0220670008e3f921,671fe6eb29daf8073431fe45,3886,3886,3928,3928
edzrestaurant,653a32a44d84a700072cc794,6556ba3e0220670008e3f921,671fe6eb29daf8073431fe45,3899,3899,3928,3928
edzrestaurant,653a32a44d84a700072cc794,6556ba3e0220670008e3f921,671fe6eb29daf8073431fe68,3948,3948,4006,4006
edzrestaurant,653a32a44d84a700072cc794,6556ba3e0220670008e3f921,671fe6eb29daf8073431fe68,3950,3950,4006,4006
meobelchibugan,65d33d8cde543d000769c9da,65d33d8cde543d000769c9dc,671fe6ed29daf80734320068,877,876,890,889
meobelchibugan,65d33d8cde543d000769c9da,65d33d8cde543d000769c9dc,671fe6ed29daf80734320068,878,877,890,889
meobelchibugan,65d33d8cde543d000769c9da,65d33d8cde543d000769c9dc,671fe6ed29daf80734320078,891,890,923,921
meobelchibugan,65d33d8cde543d000769c9da,65d33d8cde543d000769c9dc,671fe6ed29daf80734320078,892,891,923,921
meobelchibugan,65d33d8cde543d000769c9da,65d33d8cde543d000769c9dc,671fe6ed29daf80734320088,924,922,955,953
meobelchibugan,65d33d8cde543d000769c9da,65d33d8cde543d000769c9dc,671fe6ed29daf80734320088,925,923,955,953
zenfinity,66bda321a8aca700063b4baf,64e823709058340007de82a3,671fe6f029daf80734320452,2190,2190,2238,2238
zenfinity,66bda321a8aca700063b4baf,64e823709058340007de82a3,671fe6f029daf80734320452,2192,2192,2238,2238
zenfinity,66bda321a8aca700063b4baf,64e823709058340007de82a3,671fe6f029daf80734320465,2239,2239,2279,2279
zenfinity,66bda321a8aca700063b4baf,64e823709058340007de82a3,671fe6f029daf80734320465,2240,2240,2279,2279
happyday_2019,5dd08656c6f4f1691ff9c4cf,5d63ac3ab1f1861f4a34f0b7,671fe6f229daf80734320673,62905,62901,62990,62986
happyday_2019,5dd08656c6f4f1691ff9c4cf,5d63ac3ab1f1861f4a34f0b7,671fe6f229daf80734320673,62916,62912,62990,62986
youandme,63ad4156104e2100074e96d2,63ad4156104e2100074e96d4,6721985e6aa3b66f97ec6613,40230,40028,40295,40093
youandme,63ad4156104e2100074e96d2,63ad4156104e2100074e96d4,6721985e6aa3b66f97ec6613,40248,40046,40295,40093
boxedblossoms,65bb0599828ae7000685c1b5,65d828949571bd00071621f3,671fe6fb29daf80734321049,825,825,828,828
boxedblossoms,65bb0599828ae7000685c1b5,65d828949571bd00071621f3,671fe6fb29daf80734321049,826,826,828,828
davaofamous,667e4f37532f42000640dfcc,63cf530f76a1da0009d446eb,671fe6fe29daf80734321365,7822,7817,7960,7955
davaofamous,667e4f37532f42000640dfcc,63cf530f76a1da0009d446eb,671fe6fe29daf80734321365,7829,7824,7960,7955
davaofamous,667e4f37532f42000640dfcc,63cf530f76a1da0009d446eb,671fe6fe29daf8073432138e,8127,8122,8295,8290
davaofamous,667e4f37532f42000640dfcc,63cf530f76a1da0009d446eb,671fe6fe29daf8073432138e,8128,8123,8295,8290
davaofamous,667e4f37532f42000640dfcc,63cf530f76a1da0009d446eb,671fe6fe29daf807343213a2,8296,8291,8423,8418
davaofamous,667e4f37532f42000640dfcc,63cf530f76a1da0009d446eb,671fe6fe29daf807343213a2,8297,8292,8423,8418
