"business","registerid","storeid"
taobakescakes,"61a5851e588b9e0007d16c49","61a5851e588b9e0007d16c48"
redzone156,"65cb4cd55750840007ec22b0","65cb4cd55750840007ec22ae"
signaturebeefnoodles,"6436677c94f47e141c2b33e4","6476c70a833b0a0007627524"
bertsgarden,"6391db71944f5f00065b87b5","637f3bbe24682e0008a9554e"
jdvcafe,"65819caed0b36e000624e97c","65819ad87f4bc1000742b6c4"
ninethirty,"6607928fdd29980007ce16dd","6607928edd29980007ce16da"
kogai,"665f081058453b00072ecb79","665f081058453b00072ecb3d"
"17hills","64a23a9b30b3930007bdd53d","64a23a9b30b3930007bdd53b"
kurocarfe,"64e487002bb97e0007510f3e","64e487002bb97e0007510f3c"
paparazzibar,"65dedb3daf7e0800066c9e42","65dedb3daf7e0800066c9e40"
sugarstar,"64acbe436c329900093d600e","64acbe436c329900093d600c"
bluediamond,"66581a8a9b32620007876de3","66581a8a9b32620007876de1"
babycarechanthaburi,"658a8bd0f5559e000745f7cd","658a8bd0f5559e000745f7cb"
storehubsrijira,"631868540d2cdc0008e02d14","62c411ffcac2c70008c8e65a"
imikaempiresdnbhd,"648ae5aa0cae4e0008357013","648008444e21f10009add6dd"
ohayo,"62d921c4be500d0007d60cb2","62d921c4be500d0007d60cb1"
babywonderlandkk,"5ed6146b41c0cb1723e14b53","5ed6146b41c0cb1723e14b52"
gogopetscafe,"65a1459dd3b2700008869098","659bd0054b1ec80007bbabc6"
cliff78,"63720d05ececea0008943824","63720d05ececea000894381b"
fortune33,"63216e712e28be00089fc6a8","63216e712e28be00089fc6a5"
dlflowercafe,"66ab27e075814300068d21bd","65bb6e99a01e690007f2acb5"
restoransidah,"66cd9c023998d9000791d124","66c83603d5f1c6000847fe1e"
aduppanngarairestaurant,"66de98ac8d55330007cf69e3","66de98ac8d55330007cf69e1"
ujbangkok,"6641d684c558780007fa510a","664df02483ba690006444fd3"
lauyauenterprise,"65e747211278b10007e7f8e1","65e746b2b55e2800071c3786"
cafyn,"63fdddcf0c0e9800079e5f27","63fdddcf0c0e9800079e5f25"
rusilaspalaguna,"66ab02bb7581430006871f2a","66ab02bb7581430006871f28"
lapita,"63b3c1b5929268000751e60f","63b3c1b5929268000751e60d"
bayangcoffee,"65f6bf3889e05e0007d6642c","65f6beef7e6ba3000759e975"
maisondespains,"5f163e936c94aa000617bdcf","5f3799970d0b7f0006cf616a"
nolitajoes,"665999994de8e200087fd751","665999994de8e200087fd74e"
moditechhub,"667140e1a97b1c0007385abe","667140e1a97b1c0007385abc"
indiansalt,"660685826aa339000778da79","660685826aa339000778da76"
cafe218,"655c272dbee0ff00060c5d5c","655c272dbee0ff00060c5d59"
kbbburgerandsteak,"5dee14c731b9fb1080f7ae15","5dee14c731b9fb1080f7ae14"
pvbotani123,"6436107d6655f1000732a108","6436107d6655f1000732a104"
calmacafe,"63d8e8269e882b00071ce6b2","63d8e8269e882b00071ce6b0"
connectddotsgroup,"667e1d83535ce800068844b2","667b774daa7f430007b366b7"
fishclub,"5de5d569b4e40159d4193ba2","5d3e99a76c013029e77b7668"
bryellefoods,"63b5547a202918000771fc4f","63b5547a202918000771fc4d"
laurentinosrestaurant,"66d96a59f5fdd60007c74dae","66d96a59f5fdd60007c74dac"
treehaus,"63772c5a4e3d5f00087f12c0","63772c5a4e3d5f00087f12be"
bangkokdoicafe,"5a372118ecfc34087035d51f","5a372118ecfc34087035d51e"
hakz,"6174e1cac042740006751a28","63a1762b4660120007ff2dd5"
ragingbullburgers,"649d533d8cfd170008f323c2","64829f152e7b280008a85d6e"
yukiko,"6656e1098a68ba0006f80b67","6656e1098a68ba0006f80b5f"
yangbasb,"63e44e664e89bd0008b5e12b","63e44e664e89bd0008b5e129"
naskencoffee,"61c822e93235c700063f3bfa","61c822b9f0aded00079bec9c"
universalbakehouse,"5da03e3a3c9d9e49b3284ead","5da03e3a3c9d9e49b3284eac"
flaaah,"646c3052c8f27a00060891d5","646c3052c8f27a00060891d3"
imikaempiresdnbhd,"64e729c420dd190006b49c80","64e4567e04b6d60007c3c3bf"
thebasic,"659375d0133853892d109ea8","65bd0f6ebf157c00075fe3dd"
ibunco,"628c5decf67cc00007694d09","628c5decf67cc00007694d08"
ytsweetstory,"666a5be612d7cd0006c84b05","666924a4a0b1cd0007e9b6da"
justplay,"60d9a75574a7d900062b624f","60a4b1ce6bdb66000639fd81"
blackandbrick,"60363ada4b6b690006136ee3","60363ada4b6b690006136ee2"
lakesidemookata,"646b4bb30f91cc000731eef3","646b4bb30f91cc000731eef0"
thirdmilerivercity,"632b3908474819000734d8ef","632b3908474819000734d8ed"
kantan,"64a77c186c329900099e3f29","64a77c186c329900099e3f27"
kuyajofoodhouse,"63f455036c9ba10008736d84","63f455036c9ba10008736d7e"
trendycafebakery,"64ae7a4bb223c0000723bb7f","64ae7a4bb223c0000723bb7d"
richfieldcurryhouse,"63d9caa9f380e60007beae98","63d9caa9f380e60007beae96"
restoranbahao,"66715420dd4a480007396d15","66715420dd4a480007396d13"
alcbistro,"63db10fd0b9af800089985ad","63db10fd0b9af800089985ab"
fatinbarakahtomyam,"6602bed0ca66e900077a11fb","6602bed0ca66e900077a11f9"
xinpark,"668e2e8b1008200007defc7a","668e2e8b1008200007defc77"
elpococantina,"64a7c11bf2145500070b070e","64a7c11bf2145500070b070b"
manisbywildflour,"663a2720f724990007c83112","663a2720f724990007c83110"
drasurbancafe,"63e60c9ee902b40008243636","63e60c9ee902b40008243631"
senisattisorruseremban2,"64929061cc04c9000771d466","64929061cc04c9000771d464"
sejiwa,"64264c821eec6e000796f6df","64264c821eec6e000796f6d8"
restoranmariah,"664576de868f8800071f3d00","664576de868f8800071f3cfe"
uncommoncoffee,"665ed98115288b00074950ce","665ed98115288b00074950cc"
houseofpatin,"640aac6ba8fcaf0008c5f24c","640aac6ba8fcaf0008c5f249"
novatownchinesecuisine,"64e8b0b14675fa00071ed89d","64e8b0b14675fa00071ed89b"
naisscafeandrestaurant,"63d8f8b8f380e60007af159e","63d8f8b8f380e60007af159c"
warungsimpleshahalam,"66b43f21ca62f00007c1ac92","66b43f21ca62f00007c1ac90"
steakjoint,"66dab31720fbdc0007f2c3d4","66dab31720fbdc0007f2c3d2"
guavape1,"62c4f5c57186cc0008d54647","62c4f5c57186cc0008d54646"
ayamgepukbujanglapok,"66bebb815268ce0007519ae4","66bebb815268ce0007519ae1"
restoranfamidahnasikandar,"649422e1d160fb00097ea9b6","649422e1d160fb00097ea9b4"
puancurry,"651f75d0de2fc30006689f35","651f75d0de2fc30006689f33"
hilalmalatang,"64afa4210180460008d6223c","64afa4210180460008d6223a"
boimamanis,"666825625d0af1000782a517","666825625d0af1000782a515"
myc,"66755ac4bfdbf500068f2f63","66755ac4bfdbf500068f2f61"
mientsburger,"5cac19d91cc6ee28d892b460","5c7d2f08a1b0ea44bea9fef9"
verde,"66cfe71117bb860007056d88","66cfe71117bb860007056d84"
dabao,"5f51f79e99725d00061ca1dd","5e135a8374fcd92010922187"
azayakasalonandspa,"6476a915921b670008fc8d6d","6476a915921b670008fc8d6b"
ramensekai,"6533529bac30b80008424a60","653352788d43b10007d25ab4"
fivegrainnoodlesss2,"6699de56b0307d00087780d1","6699de56b0307d00087780cf"
foodlalathaicuisine,"664c0c971981ca0007d28bda","664c0c971981ca0007d28bd8"
bellaciaonaga,"6620866cc87609000781e0f5","6620866cc87609000781e0f3"
kapasboutiquechalet,"5c87b4c1805e6412d4342ee9","5cb3ee374ad4b664bf659909"
poblanokl,"654c5f62d82e380007fef038","654c5f62d82e380007fef036"
ebonynivorycoffee,"606bd378c7cb0500060497bd","5fbf4dfd7bb063000754692a"
boutiqueinnsplt,"5b9398e5d143fc7cc98df04d","5b90905c8d616d56b1daf375"
tangkakbeefnoodle,"60a72c3547f9aa00064aa99a","5e953da809d29d2688c02306"
superkitchen,"642b9a7e26a556000889fb94","62a6d5670185aa0007165132"
redgoldrestaurant,"5ed7b196748107173e745ba0","5e8450590f25c16d25d71043"
"1995vigan","64bdec4cf59066000869fbe6","64bdec4cf59066000869fbe4"
